Date : 2022-01-27 11:47:45
Directory : /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak
Total : 85 files,  37629 codes, 896 comments, 787 blanks, all 39312 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         13 |     30,066 |          0 |          8 |     30,074 |
| Dart               |         42 |      7,053 |        785 |        650 |      8,488 |
| XML                |          9 |        128 |         51 |         11 |        190 |
| Groovy             |          4 |        100 |          0 |         23 |        123 |
| HTML               |          1 |         79 |         14 |          6 |         99 |
| JavaScript         |          1 |         67 |          0 |          9 |         76 |
| YAML               |          1 |         47 |         43 |         14 |        104 |
| Markdown           |          6 |         43 |          0 |         57 |        100 |
| Swift              |          1 |         12 |          0 |          2 |         14 |
| Shell Script       |          1 |         11 |          2 |          1 |         14 |
| JSON with Comments |          2 |          9 |          0 |          0 |          9 |
| Properties         |          2 |          8 |          1 |          2 |         11 |
| kotlin             |          1 |          5 |          0 |          3 |          8 |
| C++                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |         85 |     37,629 |        896 |        787 |     39,312 |
| MellonnSpeakEUFunction-staging                                                                                                                                                    |          4 |         84 |          0 |         12 |         96 |
| amplify                                                                                                                                                                           |          3 |         76 |          0 |          0 |         76 |
| amplify/.config                                                                                                                                                                   |          1 |         13 |          0 |          0 |         13 |
| android                                                                                                                                                                           |         15 |        216 |         50 |         37 |        303 |
| android/app                                                                                                                                                                       |         10 |        173 |         49 |         25 |        247 |
| android/app/src                                                                                                                                                                   |          8 |         69 |         49 |         12 |        130 |
| android/app/src/debug                                                                                                                                                             |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                                                              |          6 |         61 |         43 |         10 |        114 |
| android/app/src/main/kotlin                                                                                                                                                       |          1 |          5 |          0 |          3 |          8 |
| android/app/src/main/kotlin/com                                                                                                                                                   |          1 |          5 |          0 |          3 |          8 |
| android/app/src/main/kotlin/com/example                                                                                                                                           |          1 |          5 |          0 |          3 |          8 |
| android/app/src/main/kotlin/com/example/transscriber                                                                                                                              |          1 |          5 |          0 |          3 |          8 |
| android/app/src/main/res                                                                                                                                                          |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                                             |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                                           |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                                                                    |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                                                            |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                                                            |          2 |          2 |          0 |          0 |          2 |
| assets/json                                                                                                                                                                       |          2 |          2 |          0 |          0 |          2 |
| ios                                                                                                                                                                               |          8 |        236 |          4 |         10 |        250 |
| ios/Flutter                                                                                                                                                                       |          1 |         11 |          2 |          1 |         14 |
| ios/Runner                                                                                                                                                                        |          7 |        225 |          2 |          9 |        236 |
| ios/Runner/Assets.xcassets                                                                                                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                                     |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                                             |          2 |         64 |          2 |          2 |         68 |
| lib                                                                                                                                                                               |         46 |      7,089 |        785 |        700 |      8,574 |
| lib/awsDatabase                                                                                                                                                                   |          2 |        216 |         43 |         14 |        273 |
| lib/models                                                                                                                                                                        |          4 |        358 |         56 |         85 |        499 |
| lib/pages                                                                                                                                                                         |         25 |      4,610 |        364 |        378 |      5,352 |
| lib/pages/home                                                                                                                                                                    |         20 |      3,733 |        361 |        322 |      4,416 |
| lib/pages/home/profile                                                                                                                                                            |          5 |        418 |         57 |         35 |        510 |
| lib/pages/home/profile/settings                                                                                                                                                   |          2 |        256 |         51 |         26 |        333 |
| lib/pages/home/record                                                                                                                                                             |          3 |        473 |         21 |         26 |        520 |
| lib/pages/home/recordings                                                                                                                                                         |         10 |      2,572 |        249 |        247 |      3,068 |
| lib/pages/home/recordings/transcriptionPages                                                                                                                                      |          7 |      2,498 |        240 |        237 |      2,975 |
| lib/pages/home/recordings/transcriptionPages/editingPages                                                                                                                         |          5 |      1,900 |        195 |        183 |      2,278 |
| lib/pages/home/recordings/transcriptionPages/editingPages/speakerEdit                                                                                                             |          2 |      1,195 |        138 |        106 |      1,439 |
| lib/pages/home/recordings/transcriptionPages/editingPages/textEdit                                                                                                                |          2 |        612 |         44 |         61 |        717 |
| lib/pages/login                                                                                                                                                                   |          4 |        867 |          3 |         42 |        912 |
| lib/pages/login/loginPages                                                                                                                                                        |          3 |        733 |          1 |         37 |        771 |
| lib/providers                                                                                                                                                                     |          5 |        333 |        103 |         45 |        481 |
| lib/transcription                                                                                                                                                                 |          4 |        719 |        160 |         95 |        974 |
| lib/utilities                                                                                                                                                                     |          4 |        685 |         24 |         45 |        754 |
| web                                                                                                                                                                               |          2 |        102 |         14 |          7 |        123 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/MellonnSpeakEUFunction-staging/event.json                                                             | JSON               |          5 |          0 |          1 |          6 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/MellonnSpeakEUFunction-staging/index.js                                                               | JavaScript         |         67 |          0 |          9 |         76 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/MellonnSpeakEUFunction-staging/package-lock.json                                                      | JSON               |          5 |          0 |          1 |          6 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/MellonnSpeakEUFunction-staging/package.json                                                           | JSON               |          7 |          0 |          1 |          8 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/README.md                                                                                             | Markdown           |          4 |          0 |          5 |          9 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/amplify/.config/project-config.json                                                                   | JSON               |         13 |          0 |          0 |         13 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/amplify/cli.json                                                                                      | JSON               |         48 |          0 |          0 |         48 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/amplify/team-provider-info.json                                                                       | JSON               |         15 |          0 |          0 |         15 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/build.gradle                                                                              | Groovy             |         65 |          0 |         13 |         78 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/google-services.json                                                                      | JSON               |         39 |          0 |          0 |         39 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/debug/AndroidManifest.xml                                                             | XML                |          4 |          3 |          1 |          8 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/AndroidManifest.xml                                                              | XML                |         30 |         11 |          1 |         42 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/kotlin/com/example/transscriber/MainActivity.kt                                  | kotlin             |          5 |          0 |          3 |          8 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/drawable-v21/launch_background.xml                                           | XML                |          4 |          7 |          2 |         13 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/drawable/launch_background.xml                                               | XML                |          4 |          7 |          2 |         13 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/values-night/styles.xml                                                      | XML                |          9 |          9 |          1 |         19 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/values/styles.xml                                                            | XML                |          9 |          9 |          1 |         19 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/app/src/profile/AndroidManifest.xml                                                           | XML                |          4 |          3 |          1 |          8 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/build.gradle                                                                                  | Groovy             |         26 |          0 |          5 |         31 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/gradle.properties                                                                             | Properties         |          3 |          0 |          1 |          4 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/gradle/wrapper/gradle-wrapper.properties                                                      | Properties         |          5 |          1 |          1 |          7 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/settings.gradle                                                                               | Groovy             |          8 |          0 |          4 |         12 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/android/settings_aar.gradle                                                                           | Groovy             |          1 |          0 |          1 |          2 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/assets/json/946c8d5d-3207-4e64-8d52-bf51c287db11.json                                                 | JSON               |          1 |          0 |          0 |          1 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/assets/json/settings.json                                                                             | JSON with Comments |          1 |          0 |          0 |          1 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Flutter/flutter_export_environment 2.sh                                                           | Shell Script       |         11 |          2 |          1 |         14 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/AppDelegate.swift                                                                          | Swift              |         12 |          0 |          2 |         14 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                           | JSON               |        122 |          0 |          1 |        123 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                                         | JSON               |         23 |          0 |          1 |         24 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                             | Markdown           |          3 |          0 |          2 |          5 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                         | XML                |         36 |          1 |          1 |         38 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Base.lproj/Main.storyboard                                                                 | XML                |         28 |          1 |          1 |         30 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Runner-Bridging-Header.h                                                                   | C++                |          1 |          0 |          1 |          2 |
| /Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/README.md                                                                                         | Markdown           |         14 |          0 |         20 |         34 |
